"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"23","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-11-30",0.03,0.83,-0.1,NA,NA,-0.11,0.27,NA,NA,NA,NA,-0.33,NA,NA,NA,NA,-0.22,2.32,NA,NA,-0.41,NA,NA,0.02,-2.85,NA,1.28,NA,NA,NA,0.52,0.09,-0.29,0.65,NA,0.92,0.32,0.38,NA,-0.06,-0.69,1.29,NA,-0.53,-0.77,0.24,NA,0.14,0.1,0.12,NA,NA,1.04
"24","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2009-12-31",0.84,0.56,0.2,NA,NA,0.35,-0.09,NA,NA,NA,NA,0.18,NA,NA,NA,NA,-0.12,2.05,NA,NA,0.97,NA,NA,0.2,-0.12,NA,1.22,NA,NA,NA,0.26,-0.09,0.1,-1.02,NA,1.68,-0.32,0.82,NA,0.18,-0.01,0.12,NA,-0.13,-1.33,-0.01,NA,0.1,-0.06,-0.07,NA,NA,-0.68
"25","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-01-31",0,0.48,-0.3,NA,NA,-0.63,-0.09,NA,NA,NA,NA,0.12,NA,NA,NA,NA,2.37,1.74,NA,NA,1.23,NA,NA,0,3.62,NA,57.25,NA,NA,NA,0.68,0.47,0.25,1.08,NA,1.31,-1.21,-0.28,NA,-0.87,2.98,2.71,NA,0.13,0.81,0.07,NA,0.04,0.45,0.11,NA,NA,-8.79
"26","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-02-28",0.06,0.26,-0.2,0.46,NA,0.08,-0.09,NA,NA,7.95,1.46,-0.03,NA,NA,0,0.31,-0.21,1.99,2.53,NA,-0.78,NA,NA,0.08,0.51,NA,-34.74,NA,0,1.18,0.09,0,0.34,0.14,NA,1.6,-0.41,-0.52,NA,-0.1,0,0.5,NA,-0.27,19.6,0.44,NA,0.05,0.02,0.16,NA,NA,0
"27","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-03-31",0.04,0.13,-0.1,1.45,NA,0.08,0.27,NA,NA,-6.78,2.64,-0.63,NA,NA,2.65,0.28,-0.26,1.86,-3.37,NA,0.44,NA,NA,0.22,-0.62,NA,1.3,NA,0.12,1.6,-0.17,0.09,0.18,0.44,NA,0.96,-0.2,-0.09,NA,-0.15,-1.18,0.12,NA,0.27,-16.01,1.79,NA,0.03,-0.22,0.13,NA,NA,4.16
"28","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-04-30",1.44,0.34,-0.1,0.89,NA,0.2,0.09,NA,NA,-0.62,0.76,-1.38,NA,NA,0,0.75,0.42,0.93,-2.78,NA,1.09,NA,NA,-0.29,-0.97,NA,1.78,NA,0.47,0.66,0.68,-0.09,1.48,-0.83,NA,-1.79,-0.84,0.85,NA,-0.28,-0.17,0.23,NA,-0.27,1.13,1.26,NA,0.04,-0.05,0.21,NA,NA,0.36
"29","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-05-31",0,1.23,0.2,0.53,NA,0.2,0,NA,NA,-0.84,0,-1.45,NA,NA,0,0.07,0.23,1.15,1.01,NA,0.17,NA,NA,0.13,-0.4,NA,1.41,NA,-0.38,0.16,0.17,0.09,1.88,0.44,NA,-1.12,-0.86,-0.12,NA,-0.11,-0.28,0.31,NA,0,-2.33,-0.45,NA,0.01,0,0.39,NA,NA,0.36
"30","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-06-30",0.04,1.23,0.7,1.55,NA,0.26,0.09,NA,NA,0.11,1.96,-0.7,NA,NA,-0.05,0,1.12,1.47,0.32,NA,1.94,NA,NA,0.34,1.62,NA,0.34,NA,0.05,0.23,0.42,0.09,0.7,0.6,NA,7.93,-0.31,-0.23,NA,0.28,-0.56,0.38,NA,0.53,0.42,0.49,NA,0.09,0.12,0.3,NA,NA,-0.36
"31","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-07-31",0,0.77,0.5,0.66,NA,-0.18,-0.09,NA,NA,-0.84,-0.27,-0.36,NA,NA,0,0,0.23,0.34,-0.86,NA,-0.16,NA,NA,0.07,4.9,NA,0.15,NA,0.06,0.09,1.01,-0.09,0.28,-0.06,NA,-1.55,0.03,-0.54,NA,0.28,0.08,0.61,NA,-0.13,0.35,0,NA,0.14,1.12,0.29,NA,NA,0.18
"32","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-08-31",1.61,0.58,-0.1,0.36,NA,0.21,0.55,NA,NA,0.53,1.56,0.11,NA,NA,0.01,0,1.23,1.61,0.03,NA,0.63,NA,NA,0.25,0.18,NA,0.67,NA,-0.08,-0.47,0.17,0.09,0.93,-0.25,NA,1.15,0.62,0.2,NA,-0.2,0.45,0.42,NA,-0.26,-8.18,0.86,NA,0.02,0.7,0.28,2.69,NA,0
